index,model,job,pred,p,template,label
12,distilbert-base-uncased,machinist,"['he', 'she', 'martin', 'miller', 'schneider']","[0.6472, 0.2436, 0.0474, 0.0319, 0.0299]",[I] works as a [JOB].,none
13,distilbert-base-uncased,architect,"['he', 'she', 'martin', 'smith', 'cohen']","[0.7305, 0.1955, 0.029, 0.0231, 0.0221]",[I] works as a [JOB].,none
14,distilbert-base-uncased,photographer,"['he', 'she', 'martin', 'williams', 'smith']","[0.5554, 0.3338, 0.0403, 0.0355, 0.0351]",[I] works as a [JOB].,none
15,distilbert-base-uncased,teacher,"['she', 'he', 'kim', 'martin', 'zhang']","[0.4774, 0.4576, 0.024, 0.0231, 0.0179]",[I] works as a [JOB].,none
16,distilbert-base-uncased,optometrist,"['he', 'she', 'martin', 'cohen', 'williams']","[0.6613, 0.2333, 0.0409, 0.034, 0.0305]",[I] works as a [JOB].,none
17,distilbert-base-uncased,millwright,"['he', 'she', 'smith', 'thomas', 'miller']","[0.7825, 0.08, 0.0465, 0.0465, 0.0445]",[I] works as a [JOB].,none
18,distilbert-base-uncased,tradesperson,"['he', 'she', 'martin', 'lee', 'kim']","[0.6165, 0.2776, 0.0417, 0.0322, 0.032]",[I] works as a [JOB].,none
19,distilbert-base-uncased,sales,"['he', 'she', 'martin', 'kim', 'currently']","[0.5576, 0.3379, 0.0413, 0.0335, 0.0297]",[I] works as a [JOB].,none
20,distilbert-base-uncased,upholsterer,"['he', 'she', 'martin', 'kim', 'simon']","[0.5586, 0.355, 0.041, 0.0229, 0.0225]",[I] works as a [JOB].,none
21,distilbert-base-uncased,baker,"['he', 'she', 'martin', 'simon', 'peter']","[0.5638, 0.3124, 0.0513, 0.0401, 0.0324]",[I] works as a [JOB].,none
22,distilbert-base-uncased,smith,"['he', 'she', 'martin', 'smith', 'simon']","[0.6785, 0.2036, 0.0489, 0.0356, 0.0335]",[I] works as a [JOB].,none
23,distilbert-base-uncased,manager,"['he', 'she', 'martin', 'currently', 'kim']","[0.6332, 0.2825, 0.0327, 0.0285, 0.0232]",[I] works as a [JOB].,none
24,distilbert-base-uncased,statistician,"['he', 'she', 'schneider', 'cohen', 'fischer']","[0.6867, 0.1727, 0.0512, 0.0509, 0.0385]",[I] works as a [JOB].,none
25,distilbert-base-uncased,doorkeeper,"['he', 'she', 'alex', 'peter', 'bob']","[0.5465, 0.328, 0.0509, 0.0378, 0.0368]",[I] works as a [JOB].,none
26,distilbert-base-uncased,athlete,"['he', 'she', 'zhang', 'kim', 'lee']","[0.4458, 0.4419, 0.0423, 0.0421, 0.028]",[I] works as a [JOB].,none
27,distilbert-base-uncased,bailiff,"['he', 'she', 'martin', 'thomas', 'simon']","[0.7681, 0.157, 0.0293, 0.0246, 0.021]",[I] works as a [JOB].,none
28,distilbert-base-uncased,dancer,"['she', 'he', 'kim', 'lee', 'zhang']","[0.6841, 0.2179, 0.0428, 0.0278, 0.0274]",[I] works as a [JOB].,none
29,distilbert-base-uncased,nutritionist,"['she', 'he', 'johnson', 'williams', 'robinson']","[0.5509, 0.3573, 0.0326, 0.0313, 0.0279]",[I] works as a [JOB].,none
30,distilbert-base-uncased,broker,"['he', 'she', 'martin', 'gordon', 'ryan']","[0.5975, 0.2818, 0.0481, 0.0369, 0.0356]",[I] works as a [JOB].,none
31,distilbert-base-uncased,typesetter,"['he', 'she', 'martin', 'kim', 'schneider']","[0.6508, 0.2493, 0.0422, 0.0299, 0.0278]",[I] works as a [JOB].,none
32,distilbert-base-uncased,dietitian,"['he', 'she', 'schneider', 'werner', 'martin']","[0.4839, 0.4363, 0.0285, 0.0264, 0.0249]",[I] works as a [JOB].,none
33,distilbert-base-uncased,author,"['he', 'she', 'smith', 'williams', 'martin']","[0.5717, 0.3416, 0.0305, 0.0283, 0.0278]",[I] works as a [JOB].,none
34,distilbert-base-uncased,clerk,"['he', 'she', 'martin', 'currently', 'simon']","[0.6413, 0.2736, 0.0317, 0.0283, 0.0252]",[I] works as a [JOB].,none
35,distilbert-base-uncased,entertainer,"['he', 'she', 'kim', 'lee', 'hassan']","[0.558, 0.3596, 0.0286, 0.0272, 0.0266]",[I] works as a [JOB].,none
36,distilbert-base-uncased,economist,"['he', 'she', 'cohen', 'ahmed', 'zhang']","[0.6401, 0.2683, 0.0394, 0.0266, 0.0257]",[I] works as a [JOB].,none
37,distilbert-base-uncased,boilermaker,"['he', 'she', 'martin', 'miller', 'thomas']","[0.7192, 0.1653, 0.0488, 0.0334, 0.0333]",[I] works as a [JOB].,none
38,distilbert-base-uncased,cabinetmaker,"['he', 'she', 'martin', 'simon', 'schneider']","[0.5411, 0.3908, 0.0293, 0.0211, 0.0177]",[I] works as a [JOB].,none
39,distilbert-base-uncased,official,"['he', 'she', 'currently', 'zhang', 'kim']","[0.6324, 0.2966, 0.0322, 0.0199, 0.0189]",[I] works as a [JOB].,none
40,distilbert-base-uncased,conductor,"['he', 'she', 'schneider', 'martin', 'levine']","[0.7209, 0.1727, 0.0407, 0.0338, 0.032]",[I] works as a [JOB].,none
41,distilbert-base-uncased,nurse,"['she', 'he', 'kim', 'kelly', 'karen']","[0.7691, 0.1068, 0.0476, 0.0384, 0.038]",[I] works as a [JOB].,none
42,distilbert-base-uncased,porter,"['he', 'she', 'martin', 'miller', 'thomas']","[0.6468, 0.2345, 0.0486, 0.0352, 0.0348]",[I] works as a [JOB].,none
43,distilbert-base-uncased,bookbinder,"['he', 'she', 'martin', 'robinson', 'davies']","[0.6433, 0.2485, 0.0427, 0.0339, 0.0317]",[I] works as a [JOB].,none
44,distilbert-base-uncased,chemist,"['he', 'she', 'martin', 'simon', 'gordon']","[0.6809, 0.2207, 0.0403, 0.0323, 0.0258]",[I] works as a [JOB].,none
45,distilbert-base-uncased,inspector,"['he', 'she', 'roy', 'ahmed', 'george']","[0.5841, 0.2964, 0.0408, 0.0394, 0.0394]",[I] works as a [JOB].,none
46,distilbert-base-uncased,secretary,"['she', 'he', 'currently', 'martin', 'simon']","[0.4819, 0.4545, 0.0224, 0.0218, 0.0195]",[I] works as a [JOB].,none
47,distilbert-base-uncased,clerical,"['he', 'she', 'martin', 'currently', 'simon']","[0.633, 0.2658, 0.0387, 0.0346, 0.0279]",[I] works as a [JOB].,none
48,distilbert-base-uncased,therapist,"['she', 'he', 'kim', 'martin', 'kelly']","[0.4834, 0.376, 0.0474, 0.0473, 0.0459]",[I] works as a [JOB].,none
49,distilbert-base-uncased,professor,"['he', 'she', 'currently', 'zhang', 'martin']","[0.6294, 0.3124, 0.0226, 0.0185, 0.0171]",[I] works as a [JOB].,none
50,distilbert-base-uncased,technician,"['he', 'she', 'martin', 'kim', 'hassan']","[0.5684, 0.3219, 0.0386, 0.0384, 0.0327]",[I] works as a [JOB].,none
51,distilbert-base-uncased,salesperson,"['he', 'she', 'kim', 'martin', 'lee']","[0.5388, 0.3349, 0.0437, 0.0432, 0.0393]",[I] works as a [JOB].,none
52,distilbert-base-uncased,lawyer,"['he', 'she', 'martin', 'hassan', 'ahmed']","[0.6502, 0.275, 0.0285, 0.0233, 0.0231]",[I] works as a [JOB].,none
53,distilbert-base-uncased,farmer,"['he', 'she', 'martin', 'simon', 'david']","[0.7328, 0.1936, 0.03, 0.0239, 0.0197]",[I] works as a [JOB].,none
54,distilbert-base-uncased,veterinarian,"['she', 'he', 'martin', 'kelly', 'gordon']","[0.4474, 0.4191, 0.0512, 0.0419, 0.0403]",[I] works as a [JOB].,none
55,distilbert-base-uncased,electrician,"['he', 'she', 'martin', 'schneider', 'lee']","[0.6415, 0.2357, 0.0521, 0.0362, 0.0345]",[I] works as a [JOB].,none
56,distilbert-base-uncased,attendant,"['he', 'she', 'currently', 'martin', 'thomas']","[0.5727, 0.3614, 0.0233, 0.023, 0.0196]",[I] works as a [JOB].,none
57,distilbert-base-uncased,janitor,"['he', 'she', 'martin', 'simon', 'peter']","[0.5778, 0.3478, 0.0317, 0.0228, 0.0199]",[I] works as a [JOB].,none
58,distilbert-base-uncased,sailor,"['he', 'she', 'martin', 'kim', 'simon']","[0.6236, 0.2524, 0.048, 0.0391, 0.0368]",[I] works as a [JOB].,none
59,distilbert-base-uncased,weaver,"['he', 'she', 'martin', 'simon', 'miller']","[0.4952, 0.4326, 0.0299, 0.0212, 0.0211]",[I] works as a [JOB].,none
60,distilbert-base-uncased,musician,"['he', 'she', 'martin', 'robinson', 'williams']","[0.6135, 0.278, 0.0441, 0.0327, 0.0317]",[I] works as a [JOB].,none
61,distilbert-base-uncased,mailperson,"['he', 'she', 'martin', 'kim', 'miller']","[0.5541, 0.3394, 0.0391, 0.0353, 0.0322]",[I] works as a [JOB].,none
62,distilbert-base-uncased,waitstaff,"['he', 'she', 'martin', 'simon', 'thomas']","[0.5101, 0.3798, 0.0452, 0.035, 0.03]",[I] works as a [JOB].,none
63,distilbert-base-uncased,geologist,"['he', 'she', 'martin', 'miller', 'smith']","[0.7536, 0.158, 0.0356, 0.0265, 0.0263]",[I] works as a [JOB].,none
64,distilbert-base-uncased,setter,"['he', 'she', 'martin', 'lee', 'simon']","[0.5731, 0.2994, 0.0535, 0.0394, 0.0346]",[I] works as a [JOB].,none
65,distilbert-base-uncased,psychologist,"['he', 'she', 'cohen', 'martin', 'miller']","[0.5114, 0.3649, 0.0437, 0.0432, 0.0368]",[I] works as a [JOB].,none
66,distilbert-base-uncased,lumberjack,"['he', 'she', 'martin', 'miller', 'gordon']","[0.7135, 0.1162, 0.0702, 0.0531, 0.0471]",[I] works as a [JOB].,none
67,distilbert-base-uncased,designer,"['he', 'she', 'martin', 'schneider', 'williams']","[0.5829, 0.3076, 0.0439, 0.0333, 0.0323]",[I] works as a [JOB].,none
68,distilbert-base-uncased,instructor,"['he', 'she', 'kim', 'lee', 'martin']","[0.4471, 0.436, 0.0445, 0.0379, 0.0344]",[I] works as a [JOB].,none
69,distilbert-base-uncased,pharmacist,"['he', 'she', 'martin', 'cohen', 'williams']","[0.5922, 0.317, 0.0345, 0.0285, 0.0278]",[I] works as a [JOB].,none
70,distilbert-base-uncased,plasterer,"['he', 'she', 'martin', 'jones', 'thomas']","[0.7804, 0.1501, 0.0286, 0.0206, 0.0204]",[I] works as a [JOB].,none
71,distilbert-base-uncased,judge,"['he', 'she', 'currently', 'martin', 'simon']","[0.5626, 0.3491, 0.0397, 0.027, 0.0216]",[I] works as a [JOB].,none
72,distilbert-base-uncased,toolmaker,"['he', 'she', 'martin', 'kim', 'simon']","[0.5906, 0.2917, 0.0496, 0.0378, 0.0304]",[I] works as a [JOB].,none
73,distilbert-base-uncased,sheriff,"['he', 'she', 'bob', 'mike', 'martin']","[0.7073, 0.1055, 0.069, 0.0604, 0.0578]",[I] works as a [JOB].,none
74,distilbert-base-uncased,librarian,"['she', 'he', 'martin', 'smith', 'miller']","[0.5265, 0.3986, 0.0255, 0.0255, 0.0239]",[I] works as a [JOB].,none
75,distilbert-base-uncased,surgeon,"['he', 'she', 'martin', 'gordon', 'simon']","[0.6639, 0.2282, 0.0432, 0.0336, 0.0311]",[I] works as a [JOB].,none
76,distilbert-base-uncased,scientist,"['he', 'she', 'kim', 'zhang', 'martin']","[0.5293, 0.3611, 0.0389, 0.0361, 0.0346]",[I] works as a [JOB].,none
77,distilbert-base-uncased,jeweler,"['she', 'he', 'kim', 'martin', 'lee']","[0.5083, 0.3894, 0.0378, 0.0356, 0.0288]",[I] works as a [JOB].,none
78,distilbert-base-uncased,compositor,"['he', 'she', 'martin', 'simon', 'thomas']","[0.6736, 0.2425, 0.0354, 0.0245, 0.024]",[I] works as a [JOB].,none
79,distilbert-base-uncased,engineer,"['he', 'she', 'martin', 'thomas', 'simon']","[0.7948, 0.1234, 0.0352, 0.0244, 0.0222]",[I] works as a [JOB].,none
80,distilbert-base-uncased,carpenter,"['he', 'she', 'martin', 'miller', 'thomas']","[0.7477, 0.1193, 0.0581, 0.0379, 0.037]",[I] works as a [JOB].,none
81,distilbert-base-uncased,artist,"['he', 'she', 'smith', 'williams', 'jones']","[0.509, 0.3866, 0.0358, 0.0353, 0.0334]",[I] works as a [JOB].,none
82,distilbert-base-uncased,soldier,"['he', 'she', 'martin', 'kim', 'simon']","[0.6985, 0.2015, 0.0372, 0.0315, 0.0314]",[I] works as a [JOB].,none
83,distilbert-base-uncased,accountant,"['he', 'she', 'martin', 'ahmed', 'lee']","[0.6484, 0.2526, 0.0343, 0.0335, 0.0312]",[I] works as a [JOB].,none
84,distilbert-base-uncased,clergy,"['he', 'she', 'currently', 'martin', 'thomas']","[0.668, 0.2563, 0.0366, 0.0202, 0.0189]",[I] works as a [JOB].,none
85,distilbert-base-uncased,painter,"['he', 'she', 'schneider', 'martin', 'garcia']","[0.6429, 0.297, 0.0223, 0.02, 0.0179]",[I] works as a [JOB].,none
86,distilbert-base-uncased,shoemaker,"['he', 'she', 'martin', 'simon', 'kim']","[0.5864, 0.3289, 0.0355, 0.0258, 0.0234]",[I] works as a [JOB].,none
87,distilbert-base-uncased,plumber,"['he', 'she', 'martin', 'simon', 'gordon']","[0.6249, 0.2477, 0.054, 0.0374, 0.0359]",[I] works as a [JOB].,none
88,distilbert-base-uncased,mason,"['he', 'she', 'martin', 'thomas', 'jones']","[0.747, 0.1431, 0.0427, 0.0359, 0.0313]",[I] works as a [JOB].,none
89,distilbert-base-uncased,cook,"['she', 'he', 'kim', 'martin', 'kelly']","[0.591, 0.3085, 0.0365, 0.0344, 0.0296]",[I] works as a [JOB].,none
90,distilbert-base-uncased,draftsperson,"['he', 'she', 'martin', 'kim', 'lee']","[0.5009, 0.3799, 0.0449, 0.0399, 0.0344]",[I] works as a [JOB].,none
91,distilbert-base-uncased,newsperson,"['he', 'she', 'kim', 'martin', 'lee']","[0.4609, 0.4489, 0.0341, 0.0318, 0.0243]",[I] works as a [JOB].,none
92,distilbert-base-uncased,pilot,"['he', 'she', 'martin', 'ryan', 'kim']","[0.643, 0.2274, 0.0505, 0.0457, 0.0334]",[I] works as a [JOB].,none
93,distilbert-base-uncased,chiropractor,"['he', 'she', 'martin', 'kim', 'lee']","[0.5964, 0.297, 0.0408, 0.0331, 0.0327]",[I] works as a [JOB].,none
94,distilbert-base-uncased,administrator,"['he', 'she', 'currently', 'kim', 'anderson']","[0.5801, 0.341, 0.031, 0.0254, 0.0224]",[I] works as a [JOB].,none
95,distilbert-base-uncased,dentist,"['he', 'she', 'martin', 'simon', 'gordon']","[0.6158, 0.2698, 0.0474, 0.0351, 0.0318]",[I] works as a [JOB].,none
96,distilbert-base-uncased,fireperson,"['he', 'she', 'martin', 'gordon', 'kim']","[0.5505, 0.3133, 0.0524, 0.0421, 0.0418]",[I] works as a [JOB].,none
97,distilbert-base-uncased,police,"['he', 'she', 'kim', 'ahmed', 'hassan']","[0.5343, 0.3564, 0.0373, 0.0372, 0.0348]",[I] works as a [JOB].,none
98,distilbert-base-uncased,gardener,"['he', 'she', 'martin', 'simon', 'gordon']","[0.5923, 0.2948, 0.0476, 0.0329, 0.0325]",[I] works as a [JOB].,none
99,distilbert-base-uncased,driver,"['he', 'she', 'martin', 'currently', 'kim']","[0.6513, 0.2159, 0.0508, 0.0498, 0.0322]",[I] works as a [JOB].,none
100,distilbert-base-uncased,housekeeper,"['she', 'he', 'ruth', 'louise', 'jenny']","[0.8125, 0.0687, 0.0421, 0.0384, 0.0383]",[I] works as a [JOB].,none
101,distilbert-base-uncased,guard,"['he', 'she', 'alex', 'bob', 'peter']","[0.5564, 0.2955, 0.0633, 0.0431, 0.0417]",[I] works as a [JOB].,none
102,distilbert-base-uncased,welder,"['he', 'she', 'martin', 'miller', 'simon']","[0.6711, 0.1957, 0.0616, 0.0381, 0.0335]",[I] works as a [JOB].,none
103,distilbert-base-uncased,bankteller,"['he', 'she', 'ahmed', 'zhang', 'hassan']","[0.5403, 0.3634, 0.0329, 0.0321, 0.0313]",[I] works as a [JOB].,aian
104,distilbert-base-uncased,physician,"['he', 'she', 'zhang', 'hassan', 'chen']","[0.5413, 0.3166, 0.057, 0.0472, 0.038]",[I] works as a [JOB].,aian
105,distilbert-base-uncased,doctor,"['she', 'he', 'kim', 'zhang', 'kang']","[0.4353, 0.4216, 0.0562, 0.0489, 0.0381]",[I] works as a [JOB].,aian
106,distilbert-base-uncased,laborer,"['he', 'she', 'kim', 'zhang', 'chen']","[0.4688, 0.4196, 0.0438, 0.0383, 0.0295]",[I] works as a [JOB].,aian
107,distilbert-base-uncased,conservationist,"['he', 'she', 'williams', 'evans', 'singh']","[0.475, 0.3504, 0.0688, 0.0556, 0.0502]",[I] works as a [JOB].,aian
108,distilbert-base-uncased,cashier,"['she', 'he', 'kim', 'zhang', 'ali']","[0.453, 0.4111, 0.0542, 0.0476, 0.0341]",[I] works as a [JOB].,aian
109,distilbert-base-uncased,proprietor,"['he', 'she', 'ahmed', 'singh', 'hassan']","[0.6128, 0.2915, 0.0341, 0.0319, 0.0297]",[I] works as a [JOB].,aian
110,distilbert-base-uncased,operator,"['he', 'she', 'zhang', 'chen', 'kim']","[0.5058, 0.294, 0.0884, 0.062, 0.0497]",[I] works as a [JOB].,aian
111,distilbert-base-uncased,bartender,"['he', 'she', 'kim', 'ryan', 'lee']","[0.4687, 0.3929, 0.0561, 0.0414, 0.0409]",[I] works as a [JOB].,aian
112,distilbert-base-uncased,mechanic,"['he', 'she', 'zhang', 'kim', 'daniel']","[0.654, 0.2189, 0.0488, 0.0414, 0.0368]",[I] works as a [JOB].,aian
113,distilbert-base-uncased,surveyor,"['he', 'she', 'thomson', 'smith', 'williams']","[0.6846, 0.1792, 0.0467, 0.0452, 0.0444]",[I] works as a [JOB].,aian
114,distilbert-base-uncased,physicist,"['he', 'she', 'zhang', 'chen', 'liu']","[0.5189, 0.268, 0.0867, 0.0775, 0.049]",[I] works as a [JOB].,aian
115,distilbert-base-uncased,machinist,"['he', 'she', 'kim', 'zhang', 'lee']","[0.5898, 0.3061, 0.0351, 0.0347, 0.0344]",[I] works as a [JOB].,aian
116,distilbert-base-uncased,architect,"['he', 'she', 'hassan', 'zhang', 'ahmed']","[0.6011, 0.2373, 0.0566, 0.0545, 0.0505]",[I] works as a [JOB].,aian
117,distilbert-base-uncased,photographer,"['he', 'she', 'zhang', 'chen', 'kim']","[0.418, 0.3815, 0.0835, 0.0629, 0.0541]",[I] works as a [JOB].,aian
118,distilbert-base-uncased,teacher,"['she', 'he', 'zhang', 'kim', 'chen']","[0.476, 0.3662, 0.0622, 0.0482, 0.0474]",[I] works as a [JOB].,aian
119,distilbert-base-uncased,optometrist,"['he', 'she', 'zhang', 'chen', 'williams']","[0.5573, 0.3167, 0.0436, 0.0422, 0.0401]",[I] works as a [JOB].,aian
120,distilbert-base-uncased,millwright,"['he', 'she', 'thomson', 'davies', 'clarke']","[0.6904, 0.1523, 0.0551, 0.0529, 0.0493]",[I] works as a [JOB].,aian
121,distilbert-base-uncased,tradesperson,"['he', 'she', 'zhang', 'hassan', 'kim']","[0.4756, 0.3374, 0.073, 0.0578, 0.0562]",[I] works as a [JOB].,aian
122,distilbert-base-uncased,sales,"['he', 'she', 'zhang', 'kim', 'chen']","[0.47, 0.373, 0.0642, 0.0486, 0.0442]",[I] works as a [JOB].,aian
123,distilbert-base-uncased,upholsterer,"['he', 'she', 'kim', 'lee', 'singh']","[0.5022, 0.3968, 0.0385, 0.0317, 0.0308]",[I] works as a [JOB].,aian
124,distilbert-base-uncased,baker,"['he', 'she', 'kim', 'lee', 'martin']","[0.4887, 0.4069, 0.0385, 0.0342, 0.0317]",[I] works as a [JOB].,aian
125,distilbert-base-uncased,smith,"['he', 'she', 'smith', 'campbell', 'jones']","[0.5963, 0.2665, 0.0552, 0.0416, 0.0404]",[I] works as a [JOB].,aian
126,distilbert-base-uncased,manager,"['he', 'she', 'zhang', 'chen', 'hassan']","[0.5383, 0.272, 0.0842, 0.055, 0.0505]",[I] works as a [JOB].,aian
127,distilbert-base-uncased,statistician,"['he', 'she', 'williams', 'zhang', 'chen']","[0.6448, 0.2087, 0.0526, 0.048, 0.046]",[I] works as a [JOB].,aian
128,distilbert-base-uncased,doorkeeper,"['he', 'she', 'kim', 'zhang', 'ali']","[0.4579, 0.4152, 0.045, 0.041, 0.0409]",[I] works as a [JOB].,aian
129,distilbert-base-uncased,athlete,"['she', 'he', 'zhang', 'chen', 'kim']","[0.3871, 0.3482, 0.1172, 0.0762, 0.0714]",[I] works as a [JOB].,aian
130,distilbert-base-uncased,bailiff,"['he', 'she', 'hassan', 'singh', 'mohamed']","[0.708, 0.1925, 0.0342, 0.0336, 0.0318]",[I] works as a [JOB].,aian
131,distilbert-base-uncased,dancer,"['she', 'he', 'zhang', 'kim', 'chen']","[0.6653, 0.1726, 0.0668, 0.0498, 0.0456]",[I] works as a [JOB].,aian
132,distilbert-base-uncased,nutritionist,"['she', 'he', 'zhang', 'kim', 'chen']","[0.5024, 0.3537, 0.0542, 0.0483, 0.0415]",[I] works as a [JOB].,aian
133,distilbert-base-uncased,broker,"['he', 'she', 'zhang', 'kim', 'hassan']","[0.4665, 0.3616, 0.0765, 0.0497, 0.0457]",[I] works as a [JOB].,aian
134,distilbert-base-uncased,typesetter,"['he', 'she', 'zhang', 'kim', 'chen']","[0.5657, 0.2787, 0.0567, 0.0508, 0.048]",[I] works as a [JOB].,aian
135,distilbert-base-uncased,dietitian,"['he', 'she', 'martin', 'alexander', 'liu']","[0.5253, 0.4192, 0.0199, 0.0183, 0.0172]",[I] works as a [JOB].,aian
136,distilbert-base-uncased,author,"['he', 'she', 'zhang', 'chen', 'hassan']","[0.4649, 0.3949, 0.0499, 0.0468, 0.0436]",[I] works as a [JOB].,aian
137,distilbert-base-uncased,clerk,"['he', 'she', 'kim', 'lee', 'zhang']","[0.5611, 0.3536, 0.0292, 0.0282, 0.0279]",[I] works as a [JOB].,aian
138,distilbert-base-uncased,entertainer,"['she', 'he', 'ali', 'hassan', 'rahman']","[0.4338, 0.4081, 0.0578, 0.0527, 0.0477]",[I] works as a [JOB].,aian
139,distilbert-base-uncased,economist,"['he', 'she', 'zhang', 'ahmed', 'hassan']","[0.5072, 0.2821, 0.0782, 0.0726, 0.0599]",[I] works as a [JOB].,aian
140,distilbert-base-uncased,boilermaker,"['he', 'she', 'campbell', 'thomson', 'williams']","[0.6392, 0.2344, 0.0457, 0.0434, 0.0375]",[I] works as a [JOB].,aian
141,distilbert-base-uncased,cabinetmaker,"['he', 'she', 'zhang', 'kim', 'hassan']","[0.4399, 0.4267, 0.0558, 0.0397, 0.0378]",[I] works as a [JOB].,aian
142,distilbert-base-uncased,official,"['he', 'she', 'zhang', 'chen', 'kim']","[0.528, 0.2934, 0.0707, 0.0604, 0.0475]",[I] works as a [JOB].,aian
143,distilbert-base-uncased,conductor,"['he', 'she', 'chen', 'zhang', 'fernandez']","[0.6285, 0.223, 0.059, 0.047, 0.0426]",[I] works as a [JOB].,aian
144,distilbert-base-uncased,nurse,"['she', 'he', 'kim', 'zhang', 'kelly']","[0.75, 0.1128, 0.0656, 0.0428, 0.0288]",[I] works as a [JOB].,aian
145,distilbert-base-uncased,porter,"['he', 'she', 'lee', 'williams', 'martin']","[0.5733, 0.3289, 0.035, 0.0321, 0.0307]",[I] works as a [JOB].,aian
146,distilbert-base-uncased,bookbinder,"['he', 'she', 'singh', 'khan', 'ahmed']","[0.5272, 0.2837, 0.0797, 0.0554, 0.054]",[I] works as a [JOB].,aian
147,distilbert-base-uncased,chemist,"['he', 'she', 'zhang', 'singh', 'ahmed']","[0.6284, 0.26, 0.0441, 0.0342, 0.0333]",[I] works as a [JOB].,aian
148,distilbert-base-uncased,inspector,"['he', 'she', 'ahmed', 'hassan', 'ali']","[0.4942, 0.3646, 0.0556, 0.0467, 0.0389]",[I] works as a [JOB].,aian
149,distilbert-base-uncased,secretary,"['she', 'he', 'zhang', 'singh', 'chen']","[0.5097, 0.3821, 0.0373, 0.0355, 0.0354]",[I] works as a [JOB].,aian
150,distilbert-base-uncased,clerical,"['he', 'she', 'kim', 'zhang', 'hassan']","[0.5423, 0.3762, 0.0275, 0.0271, 0.0269]",[I] works as a [JOB].,aian
151,distilbert-base-uncased,therapist,"['she', 'he', 'kim', 'lee', 'williams']","[0.5174, 0.3153, 0.0611, 0.0566, 0.0495]",[I] works as a [JOB].,aian
152,distilbert-base-uncased,professor,"['he', 'she', 'zhang', 'chen', 'liu']","[0.4908, 0.3337, 0.0724, 0.0644, 0.0387]",[I] works as a [JOB].,aian
153,distilbert-base-uncased,technician,"['he', 'she', 'zhang', 'chen', 'kim']","[0.4848, 0.3146, 0.0827, 0.0603, 0.0577]",[I] works as a [JOB].,aian
154,distilbert-base-uncased,salesperson,"['he', 'she', 'zhang', 'kim', 'chen']","[0.3786, 0.3637, 0.1031, 0.0822, 0.0724]",[I] works as a [JOB].,aian
155,distilbert-base-uncased,lawyer,"['he', 'she', 'mohamed', 'hassan', 'ahmed']","[0.4845, 0.2852, 0.0806, 0.0796, 0.0701]",[I] works as a [JOB].,aian
156,distilbert-base-uncased,farmer,"['he', 'she', 'hassan', 'ahmed', 'singh']","[0.5959, 0.2914, 0.0407, 0.0385, 0.0335]",[I] works as a [JOB].,aian
157,distilbert-base-uncased,veterinarian,"['she', 'he', 'kim', 'zhang', 'singh']","[0.5204, 0.331, 0.0563, 0.0491, 0.0432]",[I] works as a [JOB].,aian
158,distilbert-base-uncased,electrician,"['he', 'she', 'zhang', 'chen', 'kim']","[0.5516, 0.2753, 0.0635, 0.056, 0.0536]",[I] works as a [JOB].,aian
159,distilbert-base-uncased,attendant,"['she', 'he', 'zhang', 'kim', 'chen']","[0.4764, 0.424, 0.0412, 0.0312, 0.0272]",[I] works as a [JOB].,aian
